https://github.com/weaveworks/flux.git, crd_registered_in_helm_chart: satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: satisfied, helm_chart_exists: satisfied 
https://github.com/coreos/prometheus-operator.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: satisfied, custom_resource_spec_validation: satisfied, helm_chart_exists: not satisfied 
https://github.com/coreos/etcd-operator.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: not satisfied 
https://github.com/operator-framework/operator-lifecycle-manager.git, crd_registered_in_helm_chart: satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: satisfied, custom_resource_spec_validation: satisfied, helm_chart_exists: satisfied 
https://github.com/oracle/weblogic-kubernetes-operator.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: not satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: satisfied 
https://github.com/jaegertracing/jaeger-operator.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: not satisfied 
https://github.com/CrunchyData/postgres-operator.git, crd_registered_in_helm_chart: satisfied, owner_references_set: not satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: satisfied 
https://github.com/GoogleCloudPlatform/spark-on-k8s-operator.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: satisfied, helm_chart_exists: not satisfied 
https://github.com/keel-hq/keel.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: not satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: satisfied 
https://github.com/krallistic/kafka-operator.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: not satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: not satisfied 
https://github.com/coreos/tectonic-installer.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: not satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: not satisfied 
https://github.com/stefanprodan/flagger.git, crd_registered_in_helm_chart: satisfied, owner_references_set: satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: satisfied, helm_chart_exists: satisfied 
https://github.com/zalando/postgres-operator.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: not satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: not satisfied 
https://github.com/rook/operator-kit.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: not satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: not satisfied, helm_chart_exists: not satisfied 
https://github.com/instaclustr/cassandra-operator.git, crd_registered_in_helm_chart: not satisfied, owner_references_set: not satisfied, kube_openapi_annotations_on_type_definitions: not satisfied, custom_resource_spec_validation: satisfied, helm_chart_exists: satisfied 
